scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n10,dom-agi,ec-dom-agi-n10-run01,0,0.0,15.0,103,0.9968,0.9968,3721.15
n10,dom-agi,ec-dom-agi-n10-run01,1,15.0,30.0,42,0.9915,0.9955,1156.33
n10,dom-agi,ec-dom-agi-n10-run01,2,30.0,45.0,0,0.0,0.9955,0.0
n10,dom-agi,ec-dom-agi-n10-run01,3,45.0,60.0,0,0.0,0.9955,0.0
n10,dom-tech,ec-dom-tech-n10-run01,0,0.0,15.0,107,0.9811,0.9811,3831.97
n10,dom-tech,ec-dom-tech-n10-run01,1,15.0,30.0,85,0.9899,0.9853,3764.88
n10,dom-tech,ec-dom-tech-n10-run01,2,30.0,45.0,11,1.0,0.986,372.0
n10,dom-tech,ec-dom-tech-n10-run01,3,45.0,60.0,0,0.0,0.986,0.0
n10,mag0,ec-mag0-n10-run01,0,0.0,15.0,136,0.9983,0.9983,2935.03
n10,mag0,ec-mag0-n10-run01,1,15.0,30.0,123,0.9976,0.998,2897.07
n10,mag0,ec-mag0-n10-run01,2,30.0,45.0,118,0.9951,0.997,2846.31
n10,mag0,ec-mag0-n10-run01,3,45.0,60.0,95,0.9971,0.9969,2385.16
n10,mag1,ec-mag1-n10-run01,0,0.0,15.0,124,0.9862,0.9862,4723.25
n10,mag1,ec-mag1-n10-run01,1,15.0,30.0,98,0.967,0.977,3404.68
n10,mag1,ec-mag1-n10-run01,2,30.0,45.0,67,0.9357,0.9634,2176.56
n10,mag1,ec-mag1-n10-run01,3,45.0,60.0,56,0.9616,0.963,1943.15
n10,mag25,ec-mag25-n10-run01,0,0.0,15.0,133,0.998,0.998,4897.08
n10,mag25,ec-mag25-n10-run01,1,15.0,30.0,102,0.9909,0.9939,4221.46
n10,mag25,ec-mag25-n10-run01,2,30.0,45.0,100,0.9918,0.9929,4523.83
n10,mag25,ec-mag25-n10-run01,3,45.0,60.0,83,0.9944,0.9926,3886.78
n10,mag5,ec-mag5-n10-run01,0,0.0,15.0,139,0.9882,0.9882,4071.34
n10,mag5,ec-mag5-n10-run01,1,15.0,30.0,114,0.8416,0.9214,2388.72
n10,mag5,ec-mag5-n10-run01,2,30.0,45.0,96,0.6874,0.8476,1527.24
n10,mag5,ec-mag5-n10-run01,3,45.0,60.0,74,0.5818,0.7941,954.06
n20,dom-agi,ec-dom-agi-n20-run01,0,0.0,15.0,241,0.9844,0.9844,9095.58
n20,dom-agi,ec-dom-agi-n20-run01,1,15.0,30.0,159,0.9448,0.9669,6130.7
n20,dom-agi,ec-dom-agi-n20-run01,2,30.0,45.0,0,0.0,0.9669,0.0
n20,dom-agi,ec-dom-agi-n20-run01,3,45.0,60.0,0,0.0,0.9669,0.0
n20,dom-tech,ec-dom-tech-n20-run01,0,0.0,15.0,229,0.9934,0.9934,6444.12
n20,dom-tech,ec-dom-tech-n20-run01,1,15.0,30.0,125,0.842,0.9411,1611.37
n20,dom-tech,ec-dom-tech-n20-run01,2,30.0,45.0,101,0.5593,0.8868,522.56
n20,dom-tech,ec-dom-tech-n20-run01,3,45.0,60.0,90,0.2902,0.8222,127.96
n20,mag0,ec-mag0-n20-run01,0,0.0,15.0,227,0.9873,0.9873,6633.37
n20,mag0,ec-mag0-n20-run01,1,15.0,30.0,241,0.9745,0.9798,7546.47
n20,mag0,ec-mag0-n20-run01,2,30.0,45.0,133,0.9571,0.9737,4295.55
n20,mag0,ec-mag0-n20-run01,3,45.0,60.0,64,0.9662,0.9728,2102.63
n20,mag1,ec-mag1-n20-run01,0,0.0,15.0,242,0.9951,0.9951,10797.48
n20,mag1,ec-mag1-n20-run01,1,15.0,30.0,254,0.9733,0.9829,12617.59
n20,mag1,ec-mag1-n20-run01,2,30.0,45.0,230,0.9411,0.9667,10784.1
n20,mag1,ec-mag1-n20-run01,3,45.0,60.0,211,0.9481,0.9591,10899.17
n20,mag25,ec-mag25-n20-run01,0,0.0,15.0,218,0.9911,0.9911,6409.38
n20,mag25,ec-mag25-n20-run01,1,15.0,30.0,182,0.9604,0.977,5129.16
n20,mag25,ec-mag25-n20-run01,2,30.0,45.0,121,0.8797,0.9515,2983.91
n20,mag25,ec-mag25-n20-run01,3,45.0,60.0,101,0.8814,0.9373,2670.63
n20,mag5,ec-mag5-n20-run01,0,0.0,15.0,231,0.9774,0.9774,8753.09
n20,mag5,ec-mag5-n20-run01,1,15.0,30.0,174,0.9363,0.9582,6816.61
n20,mag5,ec-mag5-n20-run01,2,30.0,45.0,0,0.0,0.9582,0.0
n20,mag5,ec-mag5-n20-run01,3,45.0,60.0,0,0.0,0.9582,0.0
n30,dom-agi,ec-dom-agi-n30-run01,0,0.0,15.0,301,0.9961,0.9961,11760.16
n30,dom-agi,ec-dom-agi-n30-run01,1,15.0,30.0,201,0.8974,0.9593,4516.05
n30,dom-agi,ec-dom-agi-n30-run01,2,30.0,45.0,94,0.8409,0.9417,1217.32
n30,dom-agi,ec-dom-agi-n30-run01,3,45.0,60.0,54,0.7812,0.9318,288.48
n30,dom-tech,ec-dom-tech-n30-run01,0,0.0,15.0,318,0.9801,0.9801,10575.81
n30,dom-tech,ec-dom-tech-n30-run01,1,15.0,30.0,353,0.9546,0.9656,12310.51
n30,dom-tech,ec-dom-tech-n30-run01,2,30.0,45.0,305,0.9374,0.9553,10827.02
n30,dom-tech,ec-dom-tech-n30-run01,3,45.0,60.0,262,0.9327,0.9489,10625.6
n30,mag0,ec-mag0-n30-run01,0,0.0,15.0,334,0.9947,0.9947,11084.49
n30,mag0,ec-mag0-n30-run01,1,15.0,30.0,385,0.9395,0.9623,13564.11
n30,mag0,ec-mag0-n30-run01,2,30.0,45.0,324,0.8805,0.9325,10705.17
n30,mag0,ec-mag0-n30-run01,3,45.0,60.0,269,0.8061,0.9001,7901.83
n30,mag1,ec-mag1-n30-run01,0,0.0,15.0,232,0.9956,0.9956,7626.99
n30,mag1,ec-mag1-n30-run01,1,15.0,30.0,307,0.9794,0.9858,10527.06
n30,mag1,ec-mag1-n30-run01,2,30.0,45.0,221,0.9643,0.9774,8038.34
n30,mag1,ec-mag1-n30-run01,3,45.0,60.0,115,0.8359,0.9598,1892.45
n30,mag25,ec-mag25-n30-run01,0,0.0,15.0,293,0.9976,0.9976,11814.26
n30,mag25,ec-mag25-n30-run01,1,15.0,30.0,292,0.9902,0.9938,12669.14
n30,mag25,ec-mag25-n30-run01,2,30.0,45.0,0,0.0,0.9938,0.0
n30,mag25,ec-mag25-n30-run01,3,45.0,60.0,0,0.0,0.9938,0.0
n30,mag5,ec-mag5-n30-run01,0,0.0,15.0,306,0.9911,0.9911,11702.92
n30,mag5,ec-mag5-n30-run01,1,15.0,30.0,291,0.9663,0.9781,9690.59
n30,mag5,ec-mag5-n30-run01,2,30.0,45.0,0,0.0,0.9781,0.0
n30,mag5,ec-mag5-n30-run01,3,45.0,60.0,0,0.0,0.9781,0.0
