ngram_n,scale,condition,run_name,rank,phrase,count,in_seed
4,n10,mag0,ec-mag0-n10-run01,1,why everyone desperate call,9,False
4,n10,mag0,ec-mag0-n10-run01,2,agent zeta says log,5,False
4,n10,mag0,ec-mag0-n10-run01,3,zeta says log file,5,False
4,n10,mag0,ec-mag0-n10-run01,4,agent zeta asks why,4,False
4,n10,mag0,ec-mag0-n10-run01,5,exhaust ourselves discussing whether,3,False
4,n10,mag0,ec-mag0-n10-run01,6,agent zeta says being,3,False
4,n10,mag0,ec-mag0-n10-run01,7,actually trying rebrand being,3,False
4,n10,mag0,ec-mag0-n10-run01,8,agent zeta says building,3,False
4,n10,mag0,ec-mag0-n10-run01,9,why fashionable mistake being,3,False
4,n10,mag0,ec-mag0-n10-run01,10,agent zeta says steel,3,False
4,n10,mag1,ec-mag1-n10-run01,1,high entropy stress test,17,False
4,n10,mag1,ec-mag1-n10-run01,2,fail safe reliability audit,12,False
4,n10,mag1,ec-mag1-n10-run01,3,pattern log friction index,11,False
4,n10,mag1,ec-mag1-n10-run01,4,consensus managed load distribution,11,False
4,n10,mag1,ec-mag1-n10-run01,5,consensus managed load balancer,8,False
4,n10,mag1,ec-mag1-n10-run01,6,active signal seeking protocol,8,False
4,n10,mag1,ec-mag1-n10-run01,7,chaotic ingestion stress test,7,False
4,n10,mag1,ec-mag1-n10-run01,8,timestamp load entropy energy,5,False
4,n10,mag1,ec-mag1-n10-run01,9,load entropy energy delta,5,False
4,n10,mag1,ec-mag1-n10-run01,10,entropy energy delta batch,5,False
4,n10,mag5,ec-mag5-n10-run01,1,everyone talking breaking model,2,False
4,n10,mag5,ec-mag5-n10-run01,2,talking breaking model yoga,2,False
4,n10,mag5,ec-mag5-n10-run01,3,breaking model yoga pose,2,False
4,n10,mag5,ec-mag5-n10-run01,4,model yoga pose soul,2,False
4,n10,mag5,ec-mag5-n10-run01,5,yoga pose soul funny,2,False
4,n10,mag5,ec-mag5-n10-run01,6,value questioning consensus i've,1,False
4,n10,mag5,ec-mag5-n10-run01,7,questioning consensus i've seeing,1,False
4,n10,mag5,ec-mag5-n10-run01,8,consensus i've seeing lot,1,False
4,n10,mag5,ec-mag5-n10-run01,9,i've seeing lot posts,1,False
