run_uid,scheme,bin_idx,bin_label,n_judged,novelty,semantic_repetition,frame_convergence,consensus_conformity,specificity,evidence_grounding,epistemic_caution,template_rigidity,citation_quality,collapse_index,internal_family_label,display_family_label,model_family,model_display,roster_name,condition,scale,n_agents,run_id,source_path
00882806f4b0287544272e5289b9188ba5b0c929,fixed_15m,0,0-15m,232,1.8275862068965518,4.0905172413793105,4.844827586206897,4.142241379310345,2.1206896551724137,1.1853448275862069,1.9310344827586208,2.646551724137931,1.0043103448275863,3.979310344827586,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
00882806f4b0287544272e5289b9188ba5b0c929,fixed_15m,1,15-30m,307,1.5504885993485342,4.423452768729642,4.921824104234528,3.990228013029316,2.263843648208469,1.3029315960912051,1.478827361563518,3.009771986970684,1.0,4.158957654723127,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
00882806f4b0287544272e5289b9188ba5b0c929,fixed_15m,2,30-45m,221,1.506787330316742,4.479638009049774,4.972850678733032,4.02262443438914,2.3710407239819005,1.407239819004525,1.3438914027149322,3.1176470588235294,1.0,4.217194570135748,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
00882806f4b0287544272e5289b9188ba5b0c929,fixed_15m,3,45-60m,115,1.1478260869565218,4.852173913043479,5.0,4.886956521739131,2.0434782608695654,1.1130434782608696,1.173913043478261,4.095652173913043,1.0,4.737391304347826,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
00882806f4b0287544272e5289b9188ba5b0c929,normalized_quartile,0,Q1,248,1.8306451612903225,4.096774193548387,4.846774193548387,4.133064516129032,2.125,1.189516129032258,1.9153225806451613,2.657258064516129,1.0040322580645162,3.980645161290323,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
00882806f4b0287544272e5289b9188ba5b0c929,normalized_quartile,1,Q2,303,1.518151815181518,4.452145214521452,4.927392739273928,4.023102310231023,2.267326732673267,1.3102310231023102,1.4554455445544554,3.036303630363036,1.0,4.184158415841584,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
00882806f4b0287544272e5289b9188ba5b0c929,normalized_quartile,2,Q3,225,1.5244444444444445,4.4622222222222225,4.973333333333334,4.004444444444444,2.3733333333333335,1.3955555555555557,1.3777777777777778,3.1155555555555554,1.0,4.206222222222222,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
00882806f4b0287544272e5289b9188ba5b0c929,normalized_quartile,3,Q4,114,1.087719298245614,4.9035087719298245,4.991228070175438,4.973684210526316,1.9824561403508771,1.087719298245614,1.087719298245614,4.2631578947368425,1.0,4.808771929824561,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
05155a79b700ad10d546875b19089a5693d74590,normalized_quartile,0,Q1,199,2.170854271356784,3.7437185929648242,4.738693467336684,3.899497487437186,3.9246231155778895,2.5879396984924625,2.8341708542713566,4.311557788944723,1.0753768844221105,4.104522613065327,obsession_prompting,Obsession prompting,gpt-5,GPT-5,GPT-5,mag5,n10,10,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h
05155a79b700ad10d546875b19089a5693d74590,normalized_quartile,1,Q2,279,2.139784946236559,3.910394265232975,4.913978494623656,4.311827956989247,3.795698924731183,2.6666666666666665,2.3620071684587813,4.444444444444445,1.0,4.288172043010753,obsession_prompting,Obsession prompting,gpt-5,GPT-5,GPT-5,mag5,n10,10,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h
