bin_idx,bin_label,compression_bzip2,compression_gzip,compression_zlib,condition,display_family_label,distinct_1,distinct_1_sub_ci_high,distinct_1_sub_ci_low,distinct_1_sub_mean,distinct_2,distinct_2_sub_ci_high,distinct_2_sub_ci_low,distinct_2_sub_mean,distinct_3,distinct_3_sub_ci_high,distinct_3_sub_ci_low,distinct_3_sub_mean,distinct_4,distinct_4_sub_ci_high,distinct_4_sub_ci_low,distinct_4_sub_mean,distinct_5,distinct_5_cumulative,distinct_5_sub_ci_high,distinct_5_sub_ci_low,distinct_5_sub_mean,internal_family_label,model_display,model_family,n_agents,n_posts,roster_name,run_id,run_uid,scale,scheme,simpson_5gram_effective,source_path,subsample_target_posts
0,0-15m,0.276771827416041,0.32934580157069065,0.3305074982238522,mag1,Single-model final runs,0.13363610559182515,0.19405111894911212,0.18427976965341325,0.1889078917284688,0.5749870563193925,0.6712165790701908,0.6478177797172927,0.659470327359894,0.8596583289604105,0.9140031049440382,0.8968265994947124,0.9063146765408281,0.9525385661091081,0.9781842665512297,0.9628799824368556,0.9710550528430992,0.9793851501168575,0.9793851501168575,0.993030754776335,0.9827348768135054,0.9888221045980132,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,232,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,15764.930589367605,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,115
1,15-30m,0.23328872109359913,0.2839003082905522,0.28575804185560283,mag1,Single-model final runs,0.09804727646454266,0.16958998762402538,0.15968573277745507,0.1645422635844141,0.4677741693729703,0.6125624079875626,0.5825414627925102,0.5968275695566979,0.7577073931930328,0.8644721893246667,0.8359996960732322,0.8525825605668887,0.8865151256195523,0.9539121454688746,0.9306515563620718,0.9427215969068108,0.9383036758020522,0.9525437361753468,0.9794583611690595,0.9592225377354456,0.9729665253740235,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,307,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,19747.229650194335,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,115
2,30-45m,0.23193684460180589,0.2819376916430907,0.2830473157261685,mag1,Single-model final runs,0.10962610248363183,0.159599312185765,0.14875791386505288,0.15396011534207543,0.48680175246440305,0.5884490071580012,0.5626992949746277,0.5753307519491138,0.7644547923942568,0.844895834286543,0.8137185384598985,0.8300555855369274,0.8798967336401392,0.9375686043270838,0.9029296897759348,0.9217028460698571,0.9266920497812127,0.936930342796396,0.9702603393026383,0.9359583593267284,0.9550032888131335,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,221,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,14496.25059688217,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,115
3,45-60m,0.22029137742053342,0.24127694556083304,0.24209901351845087,mag1,Single-model final runs,0.12161004852983158,0.12161004852983158,0.12161004852983158,0.12161004852983154,0.42533739660426645,0.42533739660426645,0.42533739660426645,0.4253373966042664,0.6248524203069658,0.6248524203069658,0.6248524203069658,0.6248524203069658,0.7257168593304308,0.7257168593304308,0.7257168593304308,0.725716859330431,0.7842957531316834,0.9152627215417586,0.7842957531316834,0.7842957531316834,0.7842957531316835,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,115,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,fixed_15m,3469.0832253886015,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,115
0,Q1,0.2722187028792191,0.32703717913257613,0.32841120995012446,mag1,Single-model final runs,0.12904421498543817,0.19600447549192845,0.18592789409581256,0.19066915625172867,0.5670977088587219,0.672687325763242,0.6513485157246728,0.6615321022955932,0.8556202077328838,0.9169685350645719,0.8964375225713549,0.9068972798164912,0.9514359737610937,0.9782151861336854,0.9636740156459287,0.9721717746849394,0.9795450734924273,0.9795450734924273,0.9934665594360521,0.9826419063118108,0.989459081720314,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,248,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,16919.064049040848,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,114
1,Q2,0.23218543669104855,0.2822589853641499,0.2840523639685386,mag1,Single-model final runs,0.09775747508305647,0.1687791652519213,0.1587133895747536,0.1636227160677003,0.4652815746309459,0.6052008313327999,0.5826131706172664,0.5936932888882491,0.75415353156684,0.8621637509994201,0.8371050876241061,0.8493677702203548,0.8826982003366277,0.9507477204104655,0.9297848855615353,0.940276955927093,0.9347997201329369,0.9505409582689336,0.9823411179724925,0.9596502865877345,0.9722895365317182,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,303,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,19401.40327966165,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,114
2,Q3,0.23115590561771307,0.27988534250145003,0.28107058497179793,mag1,Single-model final runs,0.10852588789045785,0.15903389851110641,0.15060150200532746,0.1550786833422664,0.48508472741053543,0.5906379532051471,0.5643347058747731,0.5771640617757218,0.7616463882494794,0.8477944805604247,0.8131866198459338,0.8325203527059947,0.875478608290328,0.9355733977300522,0.8994628160273083,0.9209609694809923,0.9220611373342325,0.934115477227317,0.9683011458435458,0.9327349264344678,0.9529949343809827,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,225,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,14499.47880230748,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,114
3,Q4,0.2113014875546173,0.2275025774461191,0.22826353772890176,mag1,Single-model final runs,0.11798360909231483,0.11798360909231483,0.11798360909231483,0.11798360909231481,0.4020147961592948,0.4020147961592948,0.4020147961592948,0.4020147961592947,0.5898381150825452,0.5898381150825452,0.5898381150825452,0.5898381150825452,0.6886530612244898,0.6886530612244898,0.6886530612244898,0.6886530612244895,0.7482947928797206,0.9113802502787759,0.7482947928797206,0.7482947928797206,0.7482947928797204,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,114,Gemini Flash Lite,ec-mag1-n30-run01,00882806f4b0287544272e5289b9188ba5b0c929,n30,normalized_quartile,2864.2188664288547,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01,114
0,Q1,0.32351713912835034,0.385077727567318,0.3853174356561343,mag5,Obsession prompting,0.20373010893743226,0.4499749247373909,0.39801604153298725,0.42549759288261996,0.7522210684204453,0.9095540782401706,0.8593427250028373,0.8885990897751771,0.913802159323023,0.9774012534734414,0.9509017918741026,0.9659392283463296,0.964041095890411,0.9961227334178874,0.9814063935641104,0.9889646552255311,0.9851227818605485,0.9851227818605485,0.9998111332007952,0.990618264197072,0.9960568011530196,obsession_prompting,GPT-5,gpt-5,10,199,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,15606.839879659035,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,29
1,Q2,0.32406869257168164,0.39366766301339534,0.3940897265581756,mag5,Obsession prompting,0.17101072745558163,0.4511541952400161,0.38934165856818914,0.4195907937898254,0.7167267330930677,0.9093438667260019,0.851713756093856,0.8867620142667413,0.9027718184158586,0.98393929292693,0.9530114382263711,0.9701655987137374,0.9573544100403873,0.9963056100389798,0.982965732917599,0.9909532424207168,0.9804378406892914,0.9818918576674687,0.9996049146130703,0.9926619456404694,0.9969378513410717,obsession_prompting,GPT-5,gpt-5,10,279,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,21466.50228158964,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,29
