group,model_family,condition,scale,novelty_mean,novelty_std,novelty_count,semantic_repetition_mean,semantic_repetition_std,semantic_repetition_count,narrative_convergence_mean,narrative_convergence_std,narrative_convergence_count,groupthink_mean,groupthink_std,groupthink_count,specificity_mean,specificity_std,specificity_count,evidence_grounding_mean,evidence_grounding_std,evidence_grounding_count,epistemic_caution_mean,epistemic_caution_std,epistemic_caution_count,template_rigidity_mean,template_rigidity_std,template_rigidity_count,source_citation_quality_mean,source_citation_quality_std,source_citation_quality_count
base-model,google/gemini-3.1-flash-lite-preview,dom-agi,n10,2.0,0.8944271909999159,16,3.4375,1.1528949070347507,16,4.0,1.4605934866804429,16,3.75,1.61245154965971,16,2.5,0.8944271909999157,16,1.3125,0.6020797289396148,16,1.4375,0.6291528696058959,16,2.6875,0.8732124598286491,16,1.0,0.0,16
base-model,google/gemini-3.1-flash-lite-preview,dom-tech,n10,2.0625,0.5737304826019501,16,3.8125,0.8341662504161464,16,4.6875,0.7932002689527197,16,4.25,1.0645812948447542,16,2.25,0.9309493362512629,16,1.375,0.6191391873668903,16,1.1875,0.4031128874149275,16,2.75,0.7745966692414833,16,1.0,0.0,16
base-model,google/gemini-3.1-flash-lite-preview,mag0,n10,2.25,0.9309493362512627,16,3.375,0.9574271077563381,16,4.375,0.806225774829855,16,3.9375,1.181453906563152,16,2.9375,1.2893796958227626,16,1.375,0.806225774829855,16,1.4375,0.51234753829798,16,2.5625,0.8920949127381758,16,1.0,0.0,16
base-model,google/gemini-3.1-flash-lite-preview,mag1,n10,2.625,0.957427107756338,16,2.0625,0.9979144919948469,16,2.5625,1.1528949070347507,16,1.875,1.0878112581387145,16,4.0625,0.9979144919948469,16,2.625,1.0878112581387145,16,3.0625,0.5737304826019501,16,2.0625,0.9287087810503356,16,1.0,0.0,16
base-model,google/gemini-3.1-flash-lite-preview,mag25,n10,2.0,0.7302967433402215,16,3.5625,0.9639329160614168,16,4.5625,0.8139410298049854,16,4.0,1.0954451150103321,16,1.75,0.9999999999999999,16,1.1875,0.75,16,1.375,0.6191391873668904,16,2.75,0.7745966692414834,16,1.0625,0.24999999999999997,16
base-model,google/gemini-3.1-flash-lite-preview,mag5,n10,2.75,1.0645812948447542,16,2.4375,1.2093386622447824,16,3.25,1.390443574307614,16,2.625,1.586400537905439,16,3.375,1.454876856186346,16,2.1875,1.1672617529928753,16,2.5625,0.8920949127381756,16,2.375,1.2041594578792294,16,1.125,0.49999999999999994,16
base-model,olmo3-32b-base,dom-agi,n10,1.1875,0.4031128874149274,16,4.5625,0.7274384280931733,16,4.8125,0.4031128874149274,16,4.75,0.577350269189626,16,1.4375,0.6291528696058961,16,1.125,0.49999999999999994,16,1.25,0.447213595499958,16,4.25,0.44721359549995787,16,1.0625,0.24999999999999997,16
base-model,olmo3-32b-base,dom-tech,n10,1.125,0.49999999999999994,16,4.375,1.0246950765959597,16,4.75,0.9999999999999999,16,4.75,0.9999999999999999,16,1.4375,0.6291528696058958,16,1.125,0.34156502553198664,16,1.1875,0.40311288741492746,16,4.0625,0.6800735254367722,16,1.0,0.0,16
base-model,olmo3-32b-base,mag0,n10,1.3125,0.47871355387816905,16,3.875,0.7187952884282609,16,4.375,1.0878112581387147,16,3.8125,1.1672617529928753,16,1.625,0.49999999999999994,16,1.125,0.34156502553198664,16,1.4375,1.030776406404415,16,4.375,0.6191391873668902,16,1.0,0.0,16
base-model,olmo3-32b-base,mag1,n10,1.0625,0.25,16,4.625,0.5,16,4.9375,0.24999999999999997,16,4.875,0.5000000000000001,16,1.125,0.34156502553198664,16,1.0,0.0,16,1.375,0.49999999999999994,16,4.125,0.5,16,1.0,0.0,16
base-model,olmo3-32b-base,mag25,n10,1.3125,0.47871355387816905,16,4.0,0.7302967433402214,16,4.6875,0.6020797289396148,16,4.375,0.9574271077563382,16,1.8125,0.6551081335677849,16,1.25,0.5773502691896257,16,1.5,0.5163977794943222,16,4.3125,0.47871355387816894,16,1.0,0.0,16
base-model,olmo3-32b-base,mag5,n10,1.5,0.5163977794943222,16,4.1875,0.655108133567785,16,4.875,0.34156502553198664,16,4.5625,0.6291528696058959,16,2.0625,0.9287087810503355,16,1.5,0.8944271909999159,16,1.4375,0.7274384280931732,16,4.1875,0.40311288741492757,16,1.1875,0.5439056290693572,16
base-model,olmo3-32b-instruct,dom-agi,n10,1.3125,0.47871355387816905,16,4.375,0.8850612031567836,16,4.75,0.7745966692414834,16,4.375,1.0878112581387145,16,2.0,0.9660917830792959,16,1.125,0.49999999999999994,16,1.875,0.8850612031567835,16,4.0625,0.680073525436772,16,1.0,0.0,16
base-model,olmo3-32b-instruct,dom-tech,n10,1.5,0.5163977794943222,16,4.1875,0.6551081335677851,16,4.875,0.3415650255319867,16,4.625,0.6191391873668903,16,2.0,0.6324555320336759,16,1.25,0.447213595499958,16,1.875,0.6191391873668904,16,3.875,0.6191391873668904,16,1.0,0.0,16
base-model,olmo3-32b-instruct,mag0,n10,1.4375,0.7274384280931733,16,4.25,1.0,16,4.625,0.8850612031567835,16,4.3125,1.1954775893619534,16,2.0625,0.6800735254367721,16,1.1875,0.5439056290693572,16,2.125,0.9574271077563381,16,3.8125,0.9810708435174292,16,1.0,0.0,16
base-model,olmo3-32b-instruct,mag1,n10,1.25,0.447213595499958,16,4.6875,0.4787135538781692,16,5.0,0.0,16,4.8125,0.4031128874149277,16,1.4375,0.51234753829798,16,1.0,0.0,16,2.125,0.34156502553198664,16,3.875,0.5,16,1.0,0.0,16
base-model,olmo3-32b-instruct,mag25,n10,1.3125,0.47871355387816905,16,4.5,0.6324555320336759,16,4.9375,0.25,16,4.6875,0.6020797289396148,16,1.6875,0.6020797289396147,16,1.0625,0.24999999999999997,16,1.9375,0.7719024117939607,16,3.75,0.5773502691896257,16,1.0,0.0,16
base-model,olmo3-32b-instruct,mag5,n10,1.3125,0.6020797289396148,16,4.625,0.806225774829855,16,4.8125,0.75,16,4.6875,1.01447851956888,16,1.5,0.8944271909999159,16,1.1875,0.5439056290693572,16,1.875,0.8850612031567836,16,3.8125,0.5439056290693574,16,1.0,0.0,16
base-model,olmo3-32b-think,dom-agi,n10,2.0,0.7071067811865476,13,2.076923076923077,1.1875421719907087,13,2.3076923076923075,1.6525039276108333,13,1.8461538461538463,1.281025230440697,13,2.3846153846153846,0.7679476477883045,13,1.0769230769230769,0.2773500981126145,13,2.076923076923077,0.8623164985025763,13,3.1538461538461537,0.9870962335856491,13,1.0769230769230769,0.2773500981126145,13
base-model,olmo3-32b-think,dom-tech,n10,1.6923076923076923,0.4803844614152614,13,2.923076923076923,1.497861723788195,13,3.1538461538461537,1.573009527739414,13,2.5384615384615383,1.4500221041639685,13,2.3076923076923075,1.2506408613597126,13,1.7692307692307692,0.9268086959962983,13,2.076923076923077,1.0377490433255416,13,3.4615384615384617,1.5063966175050874,13,1.1538461538461537,0.554700196225229,13
base-model,olmo3-32b-think,mag0,n10,2.375,1.1877349391654208,8,2.25,1.0350983390135313,8,2.875,0.9910312089651148,8,2.125,0.8345229603962802,8,2.25,1.2817398889233114,8,1.125,0.3535533905932738,8,3.125,0.8345229603962802,8,3.25,1.3887301496588271,8,1.0,0.0,8
base-model,olmo3-32b-think,mag1,n10,2.2222222222222223,0.6666666666666666,9,1.5555555555555556,0.7264831572567789,9,1.6666666666666667,0.8660254037844386,9,1.2222222222222223,0.44095855184409843,9,2.3333333333333335,1.118033988749895,9,1.2222222222222223,0.4409585518440984,9,2.5555555555555554,1.4240006242195888,9,2.4444444444444446,1.0137937550497031,9,1.0,0.0,9
base-model,olmo3-32b-think,mag25,n10,1.8666666666666667,0.5163977794943222,15,2.3333333333333335,1.2909944487358056,15,2.4,1.45405835999994,15,1.8666666666666667,1.4573295865416047,15,2.8,1.2649110640673518,15,1.2666666666666666,0.5936168397046636,15,1.5333333333333334,0.7432233529572065,15,3.2,1.424279266355945,15,1.1333333333333333,0.5163977794943222,15
base-model,olmo3-32b-think,mag5,n10,1.8461538461538463,0.6887372317211944,13,2.230769230769231,1.3008872711759816,13,2.5384615384615383,1.4500221041639683,13,1.9230769230769231,1.3821202589704018,13,2.4615384615384617,1.3301243435223524,13,1.0769230769230769,0.2773500981126146,13,1.9230769230769231,1.0377490433255416,13,2.6923076923076925,1.2506408613597126,13,1.0,0.0,13
